packed_designation,a_au,Nopp
15760,44.2445026,16
15788,39.4978635,20
15789,39.7902533,17
15807,43.5368353,14
15809,42.4761723,7
15810,39.5526213,15
15820,39.6960931,18
15836,36.1728102,17
15874,84.0891597,22
15875,39.4896199,17
15883,46.7729,6
16684,44.0350354,15
19255,42.764964,7
19299,39.7532778,14
19308,43.5727555,20
19521,45.7577518,20
20000,42.8087201,28
20108,39.6732713,7
20161,48.1982047,8
24835,41.9456656,24
24952,39.6256276,16
24978,43.351197,6
26181,92.523816,24
26308,48.0651564,27
26375,54.9276278,23
28978,39.6649849,20
29981,97.8667414,15
32929,39.9748134,19
33001,43.2321523,17
33128,33.1129995,20
33340,39.1787559,20
35671,38.1650901,22
38083,38.8125018,16
38084,55.4748472,18
38628,39.4326674,23
40314,48.7890637,20
42301,51.9581048,23
42355,37.5580793,25
44594,32.6473852,22
45802,43.7917819,5
47171,39.7123164,23
47932,39.3289102,20
48639,52.9175838,19
49673,43.5274426,12
50000,43.4715715,30
52747,44.5086002,6
53311,43.9723932,15
54520,125.183888,4
55565,46.9062914,21
55636,43.5551923,27
55637,42.8743247,24
55638,39.3367561,21
58534,44.9361096,18
59358,41.2030299,18
60454,44.0538805,16
60458,58.9257585,13
60608,48.8152613,15
60620,43.6067915,18
60621,54.9345864,15
65407,53.7882596,4
65489,99.1678819,23
66452,45.3321308,17
66652,44.131763,19
69986,39.4902836,8
69987,42.5935829,9
69988,55.6041345,5
69990,39.2904727,6
73480,31.1773744,19
76803,38.9009102,15
78799,37.5083459,14
79360,43.6308039,25
79969,34.719268,15
79978,53.5723845,18
79983,46.0736845,16
80806,41.9336442,15
82075,57.5177209,20
82155,84.4398073,19
82157,38.3693281,16
84522,55.5415594,20
84719,39.6333832,21
84922,39.4890234,22
85627,44.0635525,12
85633,43.8714003,15
86047,44.1852222,15
86177,45.7361363,17
87555,35.1801941,13
88267,43.0251549,5
88268,42.6056401,4
88611,44.389433,18
90482,39.0973361,28
90568,41.8332191,21
91133,39.5000678,4
91205,39.3385897,6
91554,104.398604,14
95625,53.0966368,5
B8228,39.5302558,15
B8378,43.6870494,14
B8379,45.2031972,4
B8698,44.076844,10
B8702,100.5396269,5
B9066,43.7838547,4
B9067,43.7096082,6
B9068,55.2879615,4
B9069,39.3017791,9
B9070,43.7926063,4
B9473,39.7694921,13
B9878,53.4637021,18
B9951,38.8495342,18
B9956,43.9529361,18
B9979,47.7974954,17
C0132,49.0797399,21
C0178,43.5299713,21
C0181,32.5061117,21
C0216,39.3455706,18
C0347,42.358655,24
C0348,39.0542941,20
C3509,44.390491,11
C6154,42.1128027,19
C6155,39.2944196,16
C6619,70.5335792,11
C6719,46.7050273,15
C7546,65.8218797,14
C7871,34.760966,14
C9746,39.1600703,13
C9772,43.4985654,13
D0391,47.4687083,5
D1318,39.1887816,13
D1695,37.0536924,13
D1696,52.5403947,13
D1697,34.7531183,14
D3067,39.4516074,15
D4210,63.0027992,16
D4340,39.6702004,99
D4568,44.07357,5
D4860,43.2097047,18
D5024,43.650681,10
D5182,37.3405801,6
D5571,55.4701701,4
D5742,44.0249851,5
D6108,42.941274,28
D6120,62.2790671,5
D6199,68.1181991,31
D6472,45.2596949,25
D7294,45.3621289,11
D7295,48.0257074,21
D8537,47.0073724,19
D8628,45.1535568,9
D9775,39.6939765,20
E3685,36.7510577,17
E3707,56.1255836,20
E3751,42.4744346,5
E3991,44.5386988,6
E4897,39.2180139,27
E5451,91.606047,22
E5452,41.866608,29
E5453,43.4081183,22
E5474,93.4211101,21
E5480,76.9057836,22
E8112,44.2917101,9
E8780,44.3480765,8
E8975,28.8050822,9
E9348,45.1789348,6
E9349,42.4482954,10
E9560,41.8938327,5
F0642,44.8851977,20
G0091,45.4967633,12
G0147,43.6473858,8
G0148,69.8453222,4
G0256,43.3061857,10
G8700,39.2911816,6
G8703,39.7378732,17
G9071,39.2360944,5
H4567,45.8587843,25
H5113,39.2595311,20
I1708,43.5814217,17
I1855,46.0593288,8
I1867,52.4382964,9
I1868,49.167459,8
I1871,43.4345675,8
I1874,52.511738,7
I1902,125.6339708,6
I2222,43.6538255,9
I2223,58.7232317,5
I2294,44.9910368,6
I2397,52.0978796,7
I2926,45.4660611,7
I2933,50.4963849,5
I2934,44.1361688,6
I3595,44.5641676,6
I3963,44.0835828,7
I3964,52.5232091,7
I4212,110.7958968,8
I4314,44.9832622,5
K2421,43.5918511,23
K8996,39.3162234,20
M5088,67.3688542,20
M9762,73.6679589,23
N0965,47.0854886,17
O1097,40.392649,5
R5809,44.2016006,19
R8361,48.0207539,9
U3712,44.564464,16
U3775,114.6266792,21
U5543,62.9245958,15
U6792,39.6834437,5
U7251,46.664726,10
U7261,41.9088086,20
U7463,39.1398101,13
U7616,44.1052653,18
U7982,92.2999132,17
U8193,43.0811143,20
U8379,48.2220421,22
U8460,35.0715979,16
U8634,43.1738201,15
U9239,30.4070679,20
V0071,29.7882695,15
V2645,47.276813,18
V5530,41.6054872,18
V6179,30.4779866,19
Y1520,39.4962822,16
Z3222,120.4102709,10
a3330,44.1512769,16
a3401,45.5935358,11
a4171,44.5847324,15
c5185,39.4753149,8
c5191,41.6345941,9
c5194,43.74967,8
c5199,45.7808677,8
c5201,43.4520097,11
c5266,43.004591,7
c5362,46.6408475,4
c5363,45.2274159,5
c5437,44.0505108,12
c5445,39.6951969,5
c5446,44.0985516,9
c5447,44.2154961,6
c5458,46.373425,10
c5527,44.287247,6
c5528,56.9505676,7
c5533,43.384831,6
c5571,30.3136977,5
c5607,62.1613204,5
c5695,30.3020527,7
c6723,44.4662288,14
e8832,44.477362,9
f3666,35.1066416,8
f5720,43.3265331,8
f6400,44.3376317,20
g0356,42.5007726,11
g7581,35.1214427,6
g7614,40.2813615,4
h2949,34.7238542,15
h4194,42.3179161,5
h4390,54.7289863,7
h4709,41.8787833,7
h7360,113.3406536,9
h7871,42.3959561,5
h7915,44.359593,6
h8028,39.2271428,9
h9858,43.0237468,9
i3843,46.2775352,13
i4018,44.0028673,7
i4025,43.8394648,8
i4030,43.8381907,16
i4745,39.3981504,17
i5473,157.283009,14
i7178,28.7931476,18
j0265,39.0975905,14
j1657,77.0823215,7
j5171,46.3790844,7
j5206,46.4185182,7
j5209,45.0259957,4
j5502,39.4117556,26
j6826,39.4399845,5
k3368,29.19582,6
k8422,43.733043,5
k8861,191.961716,10
k9306,43.4440699,18
k9333,54.921788,18
k9361,42.9558255,12
k9362,39.7058651,12
k9372,39.6465349,18
k9420,41.9698887,15
k9421,39.2093637,16
k9438,43.7299534,11
k9442,34.6469837,13
k9505,47.8497117,9
k9506,39.5240853,10
k9509,43.8746912,15
k9514,44.7838329,16
k9584,41.928736,8
k9610,43.2628735,7
k9615,40.8911805,18
k9704,39.2617463,17
k9705,43.720717,17
k9707,39.3929334,14
k9708,39.4689857,13
k9750,183.17178,18
k9987,39.5266352,16
l0027,42.3116524,17
l0083,48.1328343,15
l0308,39.4372686,17
l0309,46.433502,14
l0316,50.2581162,16
l0443,46.0342291,13
l0523,42.0411217,15
l0593,89.3014434,13
l0596,45.5854527,15
l0599,67.4852528,15
l1137,61.6993817,16
l1143,69.2976767,11
l1150,38.8092739,16
l1151,54.9837665,15
l1152,53.4026279,13
l1155,33.3984284,8
l1165,38.8993034,16
l1172,55.3184699,11
l1196,41.0100092,14
l1210,50.8866866,13
l1272,58.0201665,12
l1288,43.4119737,13
l1318,41.3494072,13
l1325,35.7457432,12
l1512,28.7339255,14
l1921,45.6569108,14
l1954,43.6506759,14
l2231,43.3747003,12
l2232,42.7726247,6
l2235,55.1079045,13
l2262,46.57709,11
l2271,43.2415528,13
m0017,67.3519794,12
m2824,42.1741437,14
m3002,47.264152,18
m6958,44.4535721,3
m7581,47.441765,15
m8644,42.4592561,6
n1767,39.7306576,7
n1768,46.3989851,5
n2338,29.0760811,8
n3480,39.9782367,15
n5189,48.0830728,6
n5190,55.5529481,7
n5297,53.7772004,9
n5603,54.9068038,14
n5613,41.9697755,13
n6315,149.7125921,5
n9514,42.4984467,13
o0828,43.5053699,4
o0829,42.2354341,5
o0830,43.942191,4
o0831,40.9774613,5
o0832,86.4597591,5
o0833,39.2466633,4
o0834,39.0666834,4
o0835,43.924402,6
o0836,45.4999355,4
o0837,44.4291213,4
o0838,43.6699063,6
o0839,42.7223364,4
o0840,43.6728345,4
o0856,43.8931871,6
o0876,72.3474315,4
o0877,47.7085385,6
o0878,41.7192249,5
o0879,58.9444808,10
o0880,47.7570907,6
o0881,42.3576561,5
o0882,53.0374808,5
o0883,39.3202845,9
o0884,39.5071599,4
o0885,39.2649313,4
o0886,40.6409301,5
o0887,42.4072367,4
o0888,41.2445814,4
o1105,42.002174,5
o1546,43.4626082,13
o1581,47.1330547,13
o3858,39.533699,5
o3883,42.6576336,6
o4555,39.7219509,15
o4847,46.4251891,18
o5412,40.2267576,7
o5446,44.1487889,4
o5447,44.480666,8
o5448,46.625457,5
o5476,46.1842253,6
o5477,45.4064327,6
o5624,43.4818082,13
o5679,47.8683938,11
o6121,44.0256672,8
o6439,38.7799698,7
o6479,157.3770608,6
o8338,171.9555728,14
o8770,46.3277279,6
o8788,45.7965986,10
o8792,43.3237893,9
o8823,39.5684942,11
o8869,42.4977944,9
p1551,43.6719406,9
p1552,43.9996233,6
p1553,43.8474548,5
p1554,46.7362259,5
p1555,44.8206323,4
p4312,30.8387314,17
p6977,46.2614241,4
p7717,46.9253599,5
q3588,44.277731,18
q3591,43.0233495,15
q3601,47.6481804,18
q3615,44.1183118,7
q3617,48.0590307,12
q3618,39.6748992,15
q3624,52.2876892,16
q3627,42.1159259,13
q3629,41.3433119,14
q3634,40.3373733,15
q3635,54.786503,12
q3639,66.526276,11
q3640,47.2985026,12
q3642,45.6440545,11
q3643,39.2688313,13
q3644,39.5121312,11
q3645,43.3589132,12
q3646,36.5803568,11
q3647,44.3219778,12
q3652,64.3018447,15
q3653,41.0855471,11
q3655,39.4807144,14
q3658,40.9165919,13
q3659,43.0185328,8
q3671,47.7639276,12
q3672,34.8969278,10
q3674,41.7879471,9
q3675,50.4719768,12
q3677,42.5200593,12
q3678,45.3987005,12
q3680,72.5037828,10
q3681,45.4942135,13
q3683,51.9036507,11
q3684,45.6997917,12
q3687,42.4689993,14
q3688,42.1753879,11
q3689,46.6270179,12
q3690,46.8154484,12
q3691,47.3038546,12
q3692,52.1166152,11
q3693,43.3666204,10
q3695,33.3485779,14
q3696,41.1330918,11
q3697,39.1930829,12
q3698,87.7741754,11
q3699,59.3225042,9
q3700,39.5880059,10
q3701,39.254751,11
q3702,46.1661328,11
q3703,39.5400681,11
q3704,39.3206192,10
q3705,52.2768178,11
q3706,60.9378327,8
q3710,34.3100647,11
q3711,43.7750098,10
q3712,48.4108044,11
q3713,55.6461693,13
q3715,39.4760072,12
q3716,40.9967642,10
q3717,39.3648854,7
q3718,122.5292155,8
q3720,36.8024119,11
q3721,44.2795503,11
q3722,70.0684673,11
q3723,40.6979201,11
q3724,43.9062165,11
q3725,45.4823027,11
q3726,125.9080109,7
q3730,46.2052386,9
q3731,42.5909647,11
q3733,72.04098,11
q3734,31.9223496,10
q3735,38.7712888,12
q3736,43.5639002,12
q3738,43.4217831,10
q3739,38.4353676,6
q3741,41.2316787,10
q3742,43.6008134,9
q3743,42.5362757,8
q3744,43.9645829,12
q3745,42.8841871,12
q3746,30.3202046,9
q3748,40.876911,10
q3749,50.549421,10
q3750,46.9889835,10
q3751,39.6733554,11
q3752,40.8085522,11
q3753,53.5239511,9
q3755,76.5431286,11
q3756,43.9707491,10
q3757,44.0020334,14
q3758,42.7566585,12
q3759,51.1187102,9
q3760,39.2542648,9
q3761,41.5446494,9
q3762,42.4459566,12
q3763,40.0712397,11
q3764,39.4499947,9
q3765,58.1093867,10
q3766,39.5876312,10
q3767,76.0907754,10
q3768,39.3418098,10
q3769,55.0082524,13
q3770,57.8569642,12
q3771,100.711817,9
q3772,42.7025843,12
q3773,42.2951167,11
q3774,60.3547164,10
q3776,41.4326673,12
q3777,78.7674725,11
q3778,116.2932535,11
q3780,41.6784485,13
q3787,55.7831643,8
q3789,41.863681,10
q3793,40.8764362,7
q3794,82.7577034,13
q3797,71.5103818,7
q3798,72.7662435,6
q3800,54.4230847,9
q3899,41.9173912,10
q3955,36.5138891,14
q3965,63.843056,13
q3983,45.4715465,9
q4049,56.5171405,12
q4179,47.4473091,14
q4216,39.6612918,13
q4217,44.3376593,14
q4365,54.9364846,12
q4366,42.7999573,16
q4435,45.9653336,14
q4457,36.2204566,7
q4460,39.2202825,11
q4531,43.7834767,16
q4612,42.9706257,11
q4613,51.7704202,12
q4747,56.2300806,8
q4834,38.8020066,6
q5257,44.7982927,6
q5258,39.5652786,13
q5460,43.7605066,15
q5461,44.7745747,8
q5462,45.4274993,16
q5595,42.8095939,13
q5596,46.6966078,10
q5729,41.6114354,15
q5815,55.8945192,13
q5816,43.9695212,15
q7604,30.1202145,14
q8219,42.0841983,6
q8381,101.3016646,13
q9780,42.2733725,10
q9823,53.1189458,10
q9938,39.7093913,13
q9940,55.1197926,10
r0055,43.8677047,9
r0231,43.9200371,10
r0664,30.3379918,10
r0838,39.5608213,10
r0839,42.6002086,12
r0930,30.1188803,12
r0941,45.2777458,10
r0955,72.8469349,11
r1015,72.7044039,10
r1016,76.3628413,9
r1017,54.790722,12
r1040,43.0909105,12
r1074,47.6339684,12
r1075,69.5586232,11
r1076,42.6277245,9
r1077,39.2526235,11
r1141,46.3207939,12
r1142,102.8875884,10
r1224,57.4435285,9
r1682,42.8390096,7
r1683,42.4519666,7
r1684,43.8407832,9
r1917,43.4004148,12
r2026,47.146157,12
r2027,31.688539,10
r2037,58.5354385,10
r2038,45.5427968,10
r2039,43.4199855,9
r2092,39.5041718,15
r2093,47.422098,12
r2095,40.7660382,12
r2184,80.8814121,10
r3028,43.4270995,11
r3085,45.6536313,9
r3205,43.552273,8
r3206,42.9765897,10
r3207,37.8634738,9
r3208,77.1539067,11
r3209,39.1206795,9
r3210,101.4701296,10
r3211,36.3739651,11
r3397,43.7386569,11
r3398,41.1244082,10
r3506,42.9456784,9
r3507,37.778479,10
r3508,65.1883395,10
r3560,62.3949752,9
r3561,41.4435345,9
r3562,39.3471342,11
r3563,137.5698911,8
r3676,43.218999,9
r3704,46.4392068,11
r3868,38.8669843,9
r4073,49.2079547,8
r4074,42.543191,7
r4161,39.3913643,9
r4314,42.4911174,8
r4315,39.8300941,9
r4405,43.1570757,9
r4625,44.5401099,9
r4626,48.159693,10
r4627,72.1757338,8
r4631,39.999213,9
r5017,97.8297183,9
r5018,43.7718735,10
r5019,36.2185302,10
r5020,42.721898,11
r5021,41.2424077,8
r5022,42.0402085,9
r5023,43.6986153,9
r5024,39.4938741,9
r5025,47.7314982,9
r5026,46.862376,8
r5027,43.7656197,10
r5028,45.140465,10
r5029,39.3466194,9
r5030,67.6596259,11
r5031,62.8417486,10
r5032,39.6336586,9
r5167,39.6112764,9
r5168,39.4755779,9
r5169,79.0891147,7
r5228,59.3076819,11
r5229,39.3449857,8
r5230,56.4310557,10
r5231,39.3332733,10
r5466,42.5294459,9
r5986,46.1789408,7
r5987,46.1962104,10
r5988,43.5110665,12
r5989,44.6115659,10
r5990,44.6599232,10
r5991,54.7937742,10
r5992,38.9315102,8
r5993,38.7532908,10
r5994,53.4247849,10
r6287,41.3875024,10
r6919,45.7056255,8
r6920,42.4477632,12
r6921,40.0379625,7
r6922,43.4426018,11
r8690,46.2791437,10
r8691,43.1384766,9
s2258,57.6978578,12
s2889,52.9058386,11
s3354,55.6908961,15
s3375,41.6708775,14
s3376,102.5576609,8
s3377,88.2341925,10
s3435,39.127363,13
s3454,42.9780481,14
s3733,46.4700199,12
s3734,42.5096874,9
s3735,152.3996183,8
s4430,55.3013635,9
s4977,40.5698898,8
s5293,47.5704225,13
s5361,42.4901388,9
s6974,78.8206063,11
s7616,39.7352226,10
s7617,43.5631522,10
s7893,40.8402328,10
s8504,43.0990423,11
t0564,44.082818,9
t2033,58.8090454,7
t2474,43.0389673,10
t2555,96.7068017,12
t2678,31.8530038,13
t2679,39.3708276,10
t3137,55.5283259,9
t3138,45.4965459,10
t3893,45.5714097,13
t3898,44.4984599,9
t4000,50.6831804,11
t4099,40.8714333,12
t4102,47.6069338,13
t4780,46.1797926,11
t4856,47.5861541,10
t4982,42.6145996,9
t5426,40.2283768,11
t5591,45.1281479,8
t5632,42.5491958,12
t5678,43.6136862,13
t5756,36.3252613,13
t5757,44.6332681,10
t5758,39.3245025,9
t5820,41.182871,15
t5915,40.5506366,14
t5916,39.3708847,9
t6004,55.6495121,12
t6067,39.4161078,11
t6068,39.5742951,11
t6130,39.3216064,11
t6416,46.5783435,11
t8093,34.3291349,5
t8095,55.012074,8
t8168,66.0994891,9
t8224,43.8330283,8
t9176,29.4395335,11
t9178,36.2218485,12
t9179,43.3600653,8
t9180,43.3828445,11
t9181,42.5422293,7
t9182,46.8780506,11
t9800,107.2140482,9
t9801,66.8519489,9
u0039,39.3024448,11
u0414,71.1887631,9
u0552,44.0667755,9
u4160,36.0794075,8
u7065,46.7098195,9
u8573,45.6767411,14
v4372,77.8715398,12
v4441,58.0880283,13
v5713,39.7111693,11
v6212,40.4211514,11
v6256,47.5945876,11
v6257,39.3900994,8
v7578,47.6712442,6
v7627,40.8301026,8
v8833,50.5219734,10
v8834,39.4625581,11
v8835,57.4662099,11
v8847,51.407383,8
v8992,39.3688204,12
v8993,39.6698195,13
v8997,42.8726424,10
v9062,42.7897225,11
v9077,41.4061817,11
v9246,39.2921993,6
w1804,47.7797237,5
w3751,47.8651271,5
w4778,77.7976268,5
w5899,84.2340848,9
w5912,32.4984009,13
w5913,38.6449428,10
w7670,42.8656438,6
w9683,49.7137174,13
x1370,37.5579124,7
x1376,40.112612,9
x1392,46.0140482,10
x1486,39.7061705,6
x2044,46.8587261,9
x2064,44.3901585,10
x2147,47.0888974,10
x2148,44.3484708,10
x2149,147.2968944,11
x2245,69.0332993,6
x2487,45.4022378,10
x3616,43.3111462,8
x3617,35.1000085,6
x4337,178.1910467,6
x4994,39.7172054,6
x7614,71.8852831,8
x9752,45.3023535,8
y0181,45.2009513,9
y0217,169.7876615,10
y1690,34.5186302,9
y2572,50.2701623,8
y2714,63.764321,9
y2715,57.7387056,6
y2716,67.7104392,9
y3108,43.7135734,12
y6187,34.7846763,4
y9221,44.1259528,13
y9222,44.3944964,8
z2019,42.7787432,7
z2026,43.8376142,10
z2029,39.513809,8
z2045,39.7970749,7
z2047,42.9087537,12
z2048,44.0207754,15
z2049,43.464896,13
z2051,48.2663963,5
z2060,39.2854413,6
z2081,45.4658466,12
z2082,43.1224623,8
z2083,45.4082262,9
z2084,87.5909641,10
z2085,46.6072075,14
z2086,41.9684132,9
z2087,43.9357379,8
z2088,39.2089719,10
z2092,42.8209247,5
z2095,38.340568,10
z2100,44.3750448,5
z2101,60.1017933,11
z2102,39.6160251,7
z2141,42.9611962,10
z2144,43.9763171,6
z2145,36.4757274,7
z2146,43.6611405,7
z2147,43.6099142,10
z2148,46.0777421,6
z2149,43.9228422,14
z2150,46.8624278,10
z2156,44.9161059,7
z2157,43.7257964,7
z2158,39.1412595,6
z2161,41.30313,9
z2166,43.3521565,10
z2167,43.5629252,12
z2174,44.5020266,8
z2175,44.364343,10
z2176,48.2434979,9
z2203,44.8928234,13
z2208,39.1836923,10
z2213,43.1073081,11
z2214,43.8472921,6
z2217,42.6466938,9
z2218,39.6762531,7
z2236,43.2901123,13
z2237,45.595595,10
z2238,44.8020113,14
z2239,46.6933669,16
z2240,44.1345216,13
z2241,39.6940366,7
z2242,44.3743869,15
z2243,30.4027172,14
z2244,44.4069116,12
z2245,58.8642366,11
z2332,39.3045379,11
z2333,44.7305585,5
z2349,41.9300024,11
z2350,55.5343963,12
z2351,39.5830935,12
z2352,39.4031076,11
